Matrix Size,Poor OpenMP,Thrashing OpenMP,'Possible' Thrashing OpenMP,Correct OpenMP
32768,2.0344,18.8308,2.0178,2.0262
30720,1.779,13.8126,1.7744,1.7718
28672,1.5506,11.2826,1.5468,1.545
26624,1.3388,9.5686,1.3326,1.3418
24576,1.1422,8.1074,1.1354,1.1372
22528,0.9592,6.746,0.9508,0.9538
20480,0.8088,6.064,0.7972,0.8
18432,0.6512,4.5308,0.6468,0.6456
16384,0.5118,2.8728,0.5068,0.508
14336,0.3948,1.9256,0.3894,0.3872
12288,0.2878,1.3252,0.2836,0.2868
10240,0.2006,0.8874,0.202,0.1998
8192,0.1312,0.5648,0.1268,0.1254
6144,0.0722,0.3032,0.0711999,0.0712
4096,0.032,0.1406,0.0324,0.0316
